key_id,tournament_name,match_name,match_id,match_date,player_id,team_name,away_team,home_team,family_name,given_name,shirt_number,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,year
136,1934 FIFA Men's World Cup,Germany vs Austria,M-1934-16,1934-06-07,P-38753,Germany,0,1,Lehner,Ernst,0,Germany,DEU,42',42,0,first half,0,0,1934
137,1934 FIFA Men's World Cup,Germany vs Austria,M-1934-16,1934-06-07,P-05609,Austria,1,0,Sesta,Karl,0,Austria,AUT,54',54,0,second half,0,0,1934
138,1934 FIFA Men's World Cup,Italy vs Czechoslovakia,M-1934-17,1934-06-10,P-51219,Czechoslovakia,1,0,Puč,Antonín,0,Czechoslovakia,CSK,71',71,0,second half,0,0,1934
139,1934 FIFA Men's World Cup,Italy vs Czechoslovakia,M-1934-17,1934-06-10,P-03638,Italy,0,1,Orsi,Raimundo,0,Italy,ITA,81',81,0,second half,0,0,1934
140,1934 FIFA Men's World Cup,Italy vs Czechoslovakia,M-1934-17,1934-06-10,P-56703,Italy,0,1,Schiavio,Angelo,0,Italy,ITA,95',95,0,"extra time, first half",0,0,1934
141,1938 FIFA Men's World Cup,Switzerland vs Germany,M-1938-01,1938-06-04,P-15763,Germany,1,0,Gauchel,Josef,0,Germany,DEU,29',29,0,first half,0,0,1938
142,1938 FIFA Men's World Cup,Switzerland vs Germany,M-1938-01,1938-06-04,P-85334,Switzerland,0,1,Abegglen,André,0,Switzerland,CHE,43',43,0,first half,0,0,1938
143,1938 FIFA Men's World Cup,Cuba vs Romania,M-1938-02,1938-06-05,P-28958,Romania,1,0,Bindea,Silviu,0,Romania,ROU,35',35,0,first half,0,0,1938
144,1938 FIFA Men's World Cup,Cuba vs Romania,M-1938-02,1938-06-05,P-77922,Cuba,0,1,Socorro,Héctor,0,Cuba,CUB,44',44,0,first half,0,0,1938
145,1938 FIFA Men's World Cup,Cuba vs Romania,M-1938-02,1938-06-05,P-56223,Cuba,0,1,Magriñá,José,0,Cuba,CUB,69',69,0,second half,0,0,1938
146,1938 FIFA Men's World Cup,Cuba vs Romania,M-1938-02,1938-06-05,P-58656,Romania,1,0,Baratky,Iuliu,0,Romania,ROU,88',88,0,second half,0,0,1938
