group,home_team,away_team,home_score,away_score,probability
B,Qatar,Bosnia and Herzegovina,2,3,0.02349181
B,Qatar,Bosnia and Herzegovina,2,4,0.00805722
B,Qatar,Bosnia and Herzegovina,2,5,0.00221077
B,Qatar,Bosnia and Herzegovina,3,0,0.02151666
B,Qatar,Bosnia and Herzegovina,3,1,0.02951915
B,Qatar,Bosnia and Herzegovina,3,2,0.02024896
B,Qatar,Bosnia and Herzegovina,3,3,0.00925999
B,Qatar,Bosnia and Herzegovina,3,4,0.00317599
B,Qatar,Bosnia and Herzegovina,3,5,0.00087144
B,Qatar,Bosnia and Herzegovina,4,0,0.00636107
B,Qatar,Bosnia and Herzegovina,4,1,0.00872688
B,Qatar,Bosnia and Herzegovina,4,2,0.00598629
B,Qatar,Bosnia and Herzegovina,4,3,0.00273757
B,Qatar,Bosnia and Herzegovina,4,4,0.00093893
B,Qatar,Bosnia and Herzegovina,4,5,0.00025763
B,Qatar,Bosnia and Herzegovina,5,0,0.00150444
B,Qatar,Bosnia and Herzegovina,5,1,0.00206397
B,Qatar,Bosnia and Herzegovina,5,2,0.0014158
B,Qatar,Bosnia and Herzegovina,5,3,0.00064746
B,Qatar,Bosnia and Herzegovina,5,4,0.00022206
B,Qatar,Bosnia and Herzegovina,5,5,6.093e-05
C,Brazil,Morocco,0,0,0.1950438
C,Brazil,Morocco,0,1,0.12980422
C,Brazil,Morocco,0,2,0.04944895
C,Brazil,Morocco,0,3,0.01194354
C,Brazil,Morocco,0,4,0.00216357
C,Brazil,Morocco,0,5,0.00031354
C,Brazil,Morocco,1,0,0.17138461
C,Brazil,Morocco,1,1,0.13570925
C,Brazil,Morocco,1,2,0.04674638
C,Brazil,Morocco,1,3,0.01129079
C,Brazil,Morocco,1,4,0.00204532
C,Brazil,Morocco,1,5,0.00029641
C,Brazil,Morocco,2,0,0.08416742
C,Brazil,Morocco,2,1,0.06098759
C,Brazil,Morocco,2,2,0.02209576
C,Brazil,Morocco,2,3,0.00533685
C,Brazil,Morocco,2,4,0.00096677
C,Brazil,Morocco,2,5,0.0001401
C,Brazil,Morocco,3,0,0.02652245
C,Brazil,Morocco,3,1,0.01921813
C,Brazil,Morocco,3,2,0.00696271
C,Brazil,Morocco,3,3,0.00168172
C,Brazil,Morocco,3,4,0.00030464
C,Brazil,Morocco,3,5,4.415e-05
C,Brazil,Morocco,4,0,0.00626822
C,Brazil,Morocco,4,1,0.00454195
C,Brazil,Morocco,4,2,0.00164554
C,Brazil,Morocco,4,3,0.00039745
C,Brazil,Morocco,4,4,7.2e-05
C,Brazil,Morocco,4,5,1.043e-05
C,Brazil,Morocco,5,0,0.00118513
C,Brazil,Morocco,5,1,0.00085874
C,Brazil,Morocco,5,2,0.00031112
C,Brazil,Morocco,5,3,7.515e-05
C,Brazil,Morocco,5,4,1.361e-05
C,Brazil,Morocco,5,5,1.97e-06
C,Brazil,Scotland,0,0,0.08695657
C,Brazil,Scotland,0,1,0.04794351
C,Brazil,Scotland,0,2,0.01721338
C,Brazil,Scotland,0,3,0.00372177
C,Brazil,Scotland,0,4,0.00060352
C,Brazil,Scotland,0,5,7.829e-05
C,Brazil,Scotland,1,0,0.14762664
C,Brazil,Scotland,1,1,0.10421702
C,Brazil,Scotland,1,2,0.03213549
C,Brazil,Scotland,1,3,0.00694814
C,Brazil,Scotland,1,4,0.00112671
C,Brazil,Scotland,1,5,0.00014617
C,Brazil,Scotland,2,0,0.14259145
C,Brazil,Scotland,2,1,0.09249081
C,Brazil,Scotland,2,2,0.02999671
C,Brazil,Scotland,2,3,0.00648571
C,Brazil,Scotland,2,4,0.00105173
C,Brazil,Scotland,2,5,0.00013644
C,Brazil,Scotland,3,0,0.0887342
C,Brazil,Scotland,3,1,0.05755673
C,Brazil,Scotland,3,2,0.01866686
C,Brazil,Scotland,3,3,0.00403604
C,Brazil,Scotland,3,4,0.00065449
C,Brazil,Scotland,3,5,8.491e-05
C,Brazil,Scotland,4,0,0.04141426
C,Brazil,Scotland,4,1,0.02686303
C,Brazil,Scotland,4,2,0.00871225
C,Brazil,Scotland,4,3,0.00188371
C,Brazil,Scotland,4,4,0.00030546
C,Brazil,Scotland,4,5,3.963e-05
C,Brazil,Scotland,5,0,0.01546318
C,Brazil,Scotland,5,1,0.01003007
C,Brazil,Scotland,5,2,0.00325296
C,Brazil,Scotland,5,3,0.00070334
C,Brazil,Scotland,5,4,0.00011405
C,Brazil,Scotland,5,5,1.48e-05
C,Brazil,Haiti,0,0,0.0225556
C,Brazil,Haiti,0,1,0.00757858
C,Brazil,Haiti,0,2,0.00208176
C,Brazil,Haiti,0,3,0.00031029
C,Brazil,Haiti,0,4,3.469e-05
C,Brazil,Haiti,0,5,3.1e-06
C,Brazil,Haiti,1,0,0.07308148
C,Brazil,Haiti,1,1,0.03518597
C,Brazil,Haiti,1,2,0.00747942
C,Brazil,Haiti,1,3,0.00111482
C,Brazil,Haiti,1,4,0.00012462
C,Brazil,Haiti,1,5,1.115e-05
C,Brazil,Haiti,2,0,0.1343976
C,Brazil,Haiti,2,1,0.06009649
C,Brazil,Haiti,2,2,0.01343621
C,Brazil,Haiti,2,3,0.00200269
C,Brazil,Haiti,2,4,0.00022388
C,Brazil,Haiti,2,5,2.002e-05
C,Brazil,Haiti,3,0,0.16095658
C,Brazil,Haiti,3,1,0.07197246
C,Brazil,Haiti,3,2,0.0160914
C,Brazil,Haiti,3,3,0.00239845
C,Brazil,Haiti,3,4,0.00026812
C,Brazil,Haiti,3,5,2.398e-05
C,Brazil,Haiti,4,0,0.14457301
C,Brazil,Haiti,4,1,0.06464647
C,Brazil,Haiti,4,2,0.01445348
C,Brazil,Haiti,4,3,0.00215431
C,Brazil,Haiti,4,4,0.00024083
C,Brazil,Haiti,4,5,2.154e-05
C,Brazil,Haiti,5,0,0.10388569
C,Brazil,Haiti,5,1,0.04645295
C,Brazil,Haiti,5,2,0.01038582
C,Brazil,Haiti,5,3,0.00154802
C,Brazil,Haiti,5,4,0.00017305
C,Brazil,Haiti,5,5,1.548e-05
C,Morocco,Scotland,0,0,0.17285863
C,Morocco,Scotland,0,1,0.08733462
C,Morocco,Scotland,0,2,0.02607393
C,Morocco,Scotland,0,3,0.00485819
C,Morocco,Scotland,0,4,0.0006789
C,Morocco,Scotland,0,5,7.59e-05
C,Morocco,Scotland,1,0,0.19985249
C,Morocco,Scotland,1,1,0.12100006
C,Morocco,Scotland,1,2,0.03215259
C,Morocco,Scotland,1,3,0.00599079
C,Morocco,Scotland,1,4,0.00083717
C,Morocco,Scotland,1,5,9.359e-05
C,Morocco,Scotland,2,0,0.12689571
C,Morocco,Scotland,2,1,0.07093101
C,Morocco,Scotland,2,2,0.01982419
C,Morocco,Scotland,2,3,0.00369371
C,Morocco,Scotland,2,4,0.00051617
C,Morocco,Scotland,2,5,5.77e-05
C,Morocco,Scotland,3,0,0.05215971
C,Morocco,Scotland,3,1,0.02915576
C,Morocco,Scotland,3,2,0.00814861
C,Morocco,Scotland,3,3,0.00151828
C,Morocco,Scotland,3,4,0.00021217
C,Morocco,Scotland,3,5,2.372e-05
C,Morocco,Scotland,4,0,0.01607995
C,Morocco,Scotland,4,1,0.00898822
C,Morocco,Scotland,4,2,0.00251208
C,Morocco,Scotland,4,3,0.00046806
C,Morocco,Scotland,4,4,6.541e-05
C,Morocco,Scotland,4,5,7.31e-06
C,Morocco,Scotland,5,0,0.00396574
C,Morocco,Scotland,5,1,0.00221673
C,Morocco,Scotland,5,2,0.00061954
C,Morocco,Scotland,5,3,0.00011544
C,Morocco,Scotland,5,4,1.613e-05
C,Morocco,Scotland,5,5,1.8e-06
C,Morocco,Haiti,0,0,0.06873079
C,Morocco,Haiti,0,1,0.02217907
C,Morocco,Haiti,0,2,0.00487202
C,Morocco,Haiti,0,3,0.00062579
C,Morocco,Haiti,0,4,6.029e-05
