group,home_team,away_team,date,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
K,Colômbia,Portugal,27/06,38.809,24.457,36.734,5.829,8.101,5.691,2.738,0.972,8.162,11.129,8.024,3.803,1.394,6.022,8.15,5.936,2.752,1.012,3.05,4.245,2.911,1.344,0.478,1.137,1.587,1.093,0.538,0.194
L,Inglaterra,Croácia,17/06,51.744,27.065,21.191,11.413,8.927,3.541,0.953,0.167,15.737,11.968,4.734,1.232,0.255,10.972,8.467,3.265,0.926,0.185,5.26,3.878,1.595,0.392,0.097,1.913,1.574,0.567,0.163,0.026
A,México,África do Sul,11/06,58.325,25.856,15.819,11.957,7.483,2.435,0.578,0.089,17.363,10.985,3.546,0.762,0.13,13.06,8.293,2.637,0.58,0.115,6.704,4.159,1.408,0.266,0.048,2.764,1.68,0.551,0.111,0.011
B,Canadá,Catar,18/06,63.622,20.591,15.787,5.694,4.812,2.244,0.688,0.163,10.96,9.54,4.291,1.261,0.33,10.988,9.418,4.369,1.257,0.288,7.461,6.627,2.911,0.872,0.189,3.936,3.46,1.452,0.468,0.108
C,Escócia,Brasil,24/06,16.437,21.066,62.497,6.147,11.728,11.22,7.23,3.681,5.321,9.862,9.444,6.157,3.16,2.262,4.327,4.088,2.652,1.341,0.689,1.341,1.27,0.845,0.432,0.137,0.324,0.305,0.192,0.115
D,EUA,Paraguai,12/06,33.387,28.215,38.398,10.8,12.531,7.307,2.904,0.902,11.283,12.753,7.578,3.028,0.939,6.118,7.088,4.054,1.616,0.543,2.239,2.575,1.513,0.562,0.187,0.69,0.708,0.432,0.168,0.041
E,Alemanha,Costa do Marfim,20/06,74.102,16.536,9.362,5.159,3.396,1.239,0.312,0.055,11.607,7.674,2.661,0.62,0.096,13.029,8.671,3.14,0.72,0.127,10.198,6.699,2.375,0.512,0.068,6.072,4.137,1.355,0.329,0.049
F,Tunísia,Países Baixos,25/06,12.835,21.933,65.232,8.733,15.139,13.934,8.56,3.967,5.597,9.807,8.664,5.447,2.575,1.846,3.218,2.959,1.807,0.78,0.408,0.704,0.64,0.4,0.195,0.064,0.126,0.108,0.065,0.03
G,Bélgica,Irã,21/06,60.973,22.196,16.831,6.96,5.853,2.404,0.73,0.158,12.371,10.367,4.358,1.26,0.285,11.355,9.21,3.992,1.176,0.23,7.123,5.824,2.616,0.785,0.156,3.43,2.939,1.2,0.346,0.086
H,Espanha,Arábia Saudita,21/06,85.248,10.826,3.926,4.169,1.844,0.414,0.084,0.006,11.104,4.879,1.081,0.163,0.023,15.308,6.557,1.533,0.245,0.028,13.972,6.01,1.421,0.231,0.028,9.753,4.435,0.969,0.164,0.013
I,Noruega,França,26/06,24.176,22.597,53.227,5.13,8.995,8.131,5.164,2.52,5.899,10.317,9.293,5.921,2.876,3.328,6.006,5.521,3.427,1.603,1.377,2.368,2.125,1.402,0.671,0.428,0.73,0.694,0.422,0.207
