home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
Costa do Marfim,Uruguai,21.852,31.828,46.32,17.11,18.735,10.516,3.922,1.157,11.205,12.243,6.662,2.601,0.781,3.673,4.264,2.239,0.914,0.272,0.812,0.887,0.509,0.225,0.055,0.145,0.166,0.076,0.036,0.011
Costa do Marfim,Arábia Saudita,44.936,32.75,22.314,18.307,11.756,3.728,0.89,0.146,19.15,12.172,4.026,0.894,0.171,10.161,6.371,2.083,0.529,0.077,3.62,2.35,0.777,0.18,0.031,1.003,0.697,0.216,0.049,0.008
Costa do Marfim,Cabo Verde,43.022,33.088,23.89,18.396,12.335,4.281,1.021,0.174,18.462,12.21,4.164,0.993,0.184,9.676,6.278,2.285,0.517,0.1,3.359,2.182,0.799,0.186,0.03,0.926,0.591,0.218,0.06,0.011
Costa do Marfim,França,9.632,19.99,70.378,8.553,16.239,15.471,10.043,4.956,4.662,8.802,8.169,5.441,2.634,1.306,2.393,2.288,1.491,0.747,0.247,0.431,0.382,0.327,0.141,0.034,0.055,0.052,0.032,0.019
Costa do Marfim,Senegal,24.132,28.157,47.711,11.137,14.543,9.821,4.47,1.561,9.441,12.696,8.42,3.774,1.311,4.111,5.416,3.759,1.671,0.592,1.202,1.665,1.064,0.528,0.157,0.268,0.348,0.259,0.11,0.037
Costa do Marfim,Noruega,21.291,22.115,56.594,5.287,9.725,9.016,5.759,2.878,5.501,10.273,9.534,6.178,3.063,2.965,5.589,5.178,3.281,1.548,1.05,2.059,1.885,1.173,0.621,0.316,0.603,0.51,0.321,0.192
Costa do Marfim,Iraque,54.799,27.067,18.134,12.078,8.214,2.926,0.706,0.151,17.079,11.656,4.074,0.942,0.155,12.102,8.478,2.947,0.685,0.131,5.76,3.954,1.452,0.368,0.056,2.133,1.516,0.532,0.102,0.016
Costa do Marfim,Argentina,7.278,19.93,72.792,10.87,19.582,17.709,11.126,5.247,4.254,7.457,7.124,4.252,1.973,0.839,1.604,1.465,0.887,0.428,0.107,0.212,0.206,0.13,0.06,0.011,0.01,0.02,0.012,0.008
Costa do Marfim,Áustria,25.57,27.843,46.587,10.796,14.006,9.472,4.24,1.521,9.731,12.541,8.496,3.706,1.343,4.327,5.716,3.898,1.662,0.62,1.366,1.773,1.177,0.548,0.16,0.346,0.423,0.304,0.129,0.055
Costa do Marfim,Argélia,33.149,28.747,38.104,10.92,12.403,7.204,3.022,0.938,11.556,13.04,7.596,2.978,0.897,6.035,6.963,4.087,1.596,0.492,2.213,2.517,1.431,0.643,0.167,0.627,0.701,0.42,0.181,0.052
Costa do Marfim,Jordânia,46.823,26.852,26.325,9.542,9.145,4.29,1.477,0.38,13.148,12.457,6.127,1.998,0.551,9.06,8.733,4.152,1.452,0.363,4.35,4.097,2.002,0.645,0.179,1.512,1.417,0.69,0.236,0.054
Costa do Marfim,Portugal,12.28,22.22,65.5,9.379,16.311,14.249,8.821,3.897,5.575,9.627,8.68,5.008,2.297,1.774,2.996,2.848,1.572,0.687,0.349,0.66,0.571,0.34,0.154,0.061,0.097,0.096,0.046,0.022
Costa do Marfim,Colômbia,13.172,24.682,62.146,11.978,18.443,14.406,7.711,3.172,6.72,10.202,8.071,4.234,1.715,1.912,2.847,2.255,1.262,0.517,0.387,0.582,0.452,0.23,0.092,0.049,0.083,0.071,0.031,0.016
Costa do Marfim,Uzbequistão,51.422,26.899,21.679,11.045,8.832,3.535,0.996,0.228,15.528,12.04,4.927,1.384,0.278,10.846,8.528,3.317,1.005,0.223,5.199,4.035,1.67,0.462,0.099,1.77,1.472,0.621,0.164,0.035
Costa do Marfim,RD Congo,30.712,36.743,32.545,22.357,16.749,6.563,1.748,0.37,16.072,12.42,4.76,1.344,0.25,6.067,4.674,1.849,0.492,0.104,1.524,1.131,0.451,0.111,0.016,0.324,0.221,0.1,0.031,0.005
Costa do Marfim,Inglaterra,10.828,24.025,65.147,12.456,19.546,15.707,8.602,3.629,5.996,9.512,7.507,4.2,1.701,1.474,2.244,1.874,0.941,0.441,0.244,0.358,0.323,0.178,0.058,0.037,0.06,0.045,0.031,0.005
Costa do Marfim,Croácia,22.888,27.243,49.869,10.972,15.084,10.353,4.796,1.747,9.216,12.157,8.489,3.97,1.414,3.814,5.182,3.555,1.7,0.595,1.109,1.464,1.015,0.517,0.172,0.246,0.342,0.214,0.102,0.041
Costa do Marfim,Gana,39.49,32.131,28.379,16.181,13.12,5.251,1.521,0.366,16.305,12.954,5.253,1.454,0.291,8.312,6.54,2.708,0.711,0.178,2.9,2.266,0.986,0.279,0.058,0.79,0.628,0.252,0.068,0.008
Costa do Marfim,Panamá,41.778,30.215,28.007,13.606,11.676,5.089,1.492,0.311,15.048,12.984,5.759,1.698,0.396,8.864,7.31,3.208,1.027,0.218,3.375,2.839,1.229,0.392,0.082,1.014,0.871,0.388,0.118,0.023
Curaçao,Holanda,2.061,5.129,92.81,1.212,4.669,8.844,11.393,11.354,0.678,2.347,4.718,5.931,5.748,0.187,0.684,1.215,1.516,1.53,0.03,0.132,0.227,0.311,0.272,0.005,0.017,0.029,0.05,0.043
Curaçao,Japão,2.793,7.482,89.725,2.235,7.355,12.145,13.293,11.301,1.118,3.608,5.678,6.276,5.3,0.264,0.861,1.358,1.496,1.24,0.055,0.144,0.249,0.253,0.199,0.004,0.018,0.041,0.025,0.027
Curaçao,Tunísia,23.137,25.809,51.054,8.702,12.862,9.939,5.13,2.006,8.014,12.104,9.057,4.65,1.875,3.751,5.587,4.219,2.241,0.831,1.144,1.744,1.366,0.691,0.242,0.281,0.473,0.299,0.163,0.085
Curaçao,Suécia,8.107,11.935,79.958,1.82,5.412,8.449,8.419,6.819,1.714,5.068,7.592,7.962,6.226,0.74,2.359,3.546,3.68,3.025,0.274,0.752,1.11,1.224,0.945,0.067,0.219,0.307,0.288,0.242
Curaçao,Bélgica,3.707,9.838,86.455,3.531,10.136,14.536,13.603,10.196,1.648,4.528,6.606,6.412,4.588,0.421,1.068,1.521,1.426,1.12,0.064,0.165,0.248,0.24,0.144,0.005,0.018,0.029,0.026,0.018
Curaçao,Egito,11.524,20.642,67.834,8.064,15.014,14.304,9.168,4.495,5.074,9.321,8.821,5.655,2.753,1.624,2.893,2.859,1.809,0.859,0.317,0.61,0.616,0.367,0.171,0.066,0.113,0.1,0.064,0.029
Curaçao,Irã,14.018,21.109,64.873,7.416,13.424,12.836,8.186,3.932,5.386,9.803,9.266,5.954,2.862,1.985,3.628,3.305,2.16,1.092,0.509,0.926,0.907,0.535,0.293,0.091,0.214,0.146,0.105,0.048
Curaçao,Nova Zelândia,27.666,23.064,49.27,4.693,8.247,7.291,4.451,2.04,5.96,10.511,9.237,5.586,2.493,3.771,6.644,5.986,3.51,1.698,1.69,2.892,2.609,1.625,0.739,0.576,0.992,0.896,0.509,0.215
Curaçao,Espanha,0.843,3.533,95.624,1.287,5.058,9.893,13.324,13.778,0.393,1.593,3.238,4.401,4.401,0.079,0.244,0.543,0.722,0.762,0.009,0.025,0.068,0.099,0.083,0.001,0.004,0.009,0.008,0.011
Curaçao,Uruguai,6.011,14.796,79.193,6.339,14.236,16.15,12.556,7.377,2.99,6.453,7.533,5.836,3.53,0.72,1.541,1.747,1.39,0.837,0.126,0.24,0.277,0.234,0.129,0.014,0.025,0.042,0.023,0.022
Curaçao,Arábia Saudita,20.751,27.776,51.473,11.98,16.222,10.964,5.221,1.825,9.188,12.19,8.372,3.827,1.34,3.416,4.589,3.224,1.482,0.566,0.889,1.114,0.793,0.354,0.148,0.167,0.237,0.164,0.08,0.026
